date,forecast_complaints
2026-01-01,117
2026-01-02,110
2026-01-03,114
2026-01-04,120
2026-01-05,123
2026-01-06,121
2026-01-07,120
2026-01-08,111
2026-01-09,111
2026-01-10,115
2026-01-11,121
2026-01-12,124
2026-01-13,122
2026-01-14,121
2026-01-15,112
2026-01-16,112
2026-01-17,116
2026-01-18,122
2026-01-19,125
2026-01-20,123
2026-01-21,122
2026-01-22,113
2026-01-23,112
2026-01-24,117
2026-01-25,123
2026-01-26,125
2026-01-27,124
2026-01-28,122
2026-01-29,114
2026-01-30,113
2026-01-31,117
2026-02-01,124
2026-02-02,126
2026-02-03,125
2026-02-04,123
2026-02-05,115
2026-02-06,114
2026-02-07,118
2026-02-08,124
2026-02-09,126
2026-02-10,124
2026-02-11,123
2026-02-12,114
2026-02-13,113
2026-02-14,117
2026-02-15,123
2026-02-16,126
2026-02-17,124
2026-02-18,122
2026-02-19,113
2026-02-20,112
2026-02-21,116
2026-02-22,122
2026-02-23,125
2026-02-24,123
2026-02-25,121
2026-02-26,112
2026-02-27,111
2026-02-28,115
2026-03-01,124
2026-03-02,126
2026-03-03,124
2026-03-04,122
2026-03-05,113
2026-03-06,112
2026-03-07,116
2026-03-08,122
2026-03-09,124
2026-03-10,122
2026-03-11,120
2026-03-12,111
2026-03-13,110
2026-03-14,114
2026-03-15,120
2026-03-16,122
2026-03-17,120
2026-03-18,118
2026-03-19,109
2026-03-20,108
2026-03-21,112
2026-03-22,118
2026-03-23,120
2026-03-24,118
2026-03-25,116
2026-03-26,107
2026-03-27,106
2026-03-28,110
2026-03-29,116
2026-03-30,118
2026-03-31,116
